,id_store,store_date_created,dim_zipcode,dim_country,dim_currency
0,360,2015-07-29 06:54:50,75001,FR,EUR
1,351,2015-07-25 11:51:52,75002,FR,EUR
2,4803,2017-10-04 13:56:31,75002,FR,EUR
3,4364,2017-06-27 12:27:31,75003,FR,EUR
4,5281,2017-12-08 11:09:59,75004,FR,EUR
5,7872,2018-09-25 16:04:17,75005,FR,EUR
6,8291,2018-11-12 08:28:37,75008,FR,EUR
7,7304,2018-07-08 15:21:37,75008,FR,EUR
8,6827,2018-05-11 10:08:10,75009,FR,EUR
9,5498,2017-12-29 16:14:24,75009,FR,EUR
10,2035,2016-05-17 08:53:49,75010,FR,EUR
11,4151,2017-05-15 17:28:52,75012,FR,EUR
12,6830,2018-05-11 11:03:01,75013,FR,EUR
13,730,2015-11-09 15:35:23,75013,FR,EUR
14,1513,2016-03-15 17:34:25,75015,FR,EUR
15,6008,2018-02-19 11:58:54,75016,FR,EUR
16,5860,2018-01-29 08:52:26,75018,FR,EUR
17,5617,2018-01-09 16:01:41,75018,FR,EUR
18,7786,2018-09-15 12:46:15,75019,FR,EUR
19,4196,2017-05-19 15:44:32,75019,FR,EUR
20,5210,2017-11-29 17:31:49,75020,FR,EUR
